sentence_type,country,msg_type,repeat,mmsi,status,turn,speed,accuracy,lon,lat,course,heading,second,maneuver,raim,radio,ais_version,imo,callsign,shipname,ship_type,to_bow,to_stern,to_port,to_starboard,epfd,month,day,hour,minute,draught,destination,dte
AIVDM,Panama,1,0,371847000,0,0.0,9.9,True,67.398515,15.975028,326.0,329,16,0,False,66236,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.931105,15.296603,176.9,179,18,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,352002071,0,0.0,11.4,False,73.691115,14.401995,343.3,343,16,0,False,99011,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419740000,0,0.0,12.6,True,72.466183,14.2147,140.0,139,19,0,False,82456,,,,,,,,,,,,,,,,,
AIVDM,Vietnam,1,0,574005600,0,0.0,14.3,True,72.907333,14.2059,132.0,133,18,0,False,66262,,,,,,,,,,,,,,,,,
AIVDM,United Kingdom,1,0,235335000,0,0.0,16.3,True,71.755457,16.570648,153.3,150,13,0,False,66263,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636024494,0,1.0,12.1,True,73.212288,14.901077,334.0,334,57,0,False,49608,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.93111,15.296577,175.1,179,19,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Japan,1,0,431938000,0,0.0,14.5,False,69.586833,15.085402,140.8,142,17,0,False,66279,,,,,,,,,,,,,,,,,
AIVDM,South Korea,1,0,440438000,0,0.0,11.7,False,73.868033,13.89575,337.0,340,18,0,False,49174,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538003860,9,-128.0,0.0,True,70.674925,18.362528,360.0,511,20,0,True,82086,,,,,,,,,,,,,,,,,
AIVDM,Hong Kong,1,0,477833400,0,0.0,11.3,True,67.821367,14.692277,140.3,139,19,0,False,82109,,,,,,,,,,,,,,,,,
AIVDM,Norway,1,0,257394000,0,0.0,12.9,True,73.0719,14.568167,336.0,337,21,0,False,49731,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.93111,15.29655,176.0,179,20,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Liberia,3,0,636021733,0,0.0,12.4,False,69.883723,14.60733,131.6,131,21,0,False,25987,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,373562000,0,0.0,10.8,True,74.077888,13.987157,347.3,347,11,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Malta,1,0,215577000,0,-0.0,17.1,True,69.743895,14.6617,129.5,127,20,0,False,82354,,,,,,,,,,,,,,,,,
AIVDM,Liberia,3,0,636018102,0,0.0,12.3,False,72.916772,14.41337,155.4,153,22,0,False,12193,,,,,,,,,,,,,,,,,
AIVDM,India,1,0,419001453,0,0.0,11.2,False,72.751643,16.428342,334.0,336,20,0,False,24600,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.2,True,72.93111,15.296525,177.4,179,21,0,True,0,,,,,,,,,,,,,,,,,
